Ada	MI	49301
Alexandria	VA	22305
Apopka	FL	32712
Atascadero	CA	93422
Atlanta	GA	30341
Atlanta	GA	30349
Aubrey	TX	76227
Austin	TX	78733
Bellevue	NE	68123
Birmingham	AL	35211
Broken Arrow	OK	74014
Buford	GA	30519
Cabool	MO	65689
Cameron Park	CA	95682
Cape Coral	FL	33914
Carrollton	TX	75007
Casa Grande	AZ	85194
Cathedral City	CA	92234
Cedar Hill	TX	75104
Chambersburg	PA	17202
Chandler	AZ	85286
Charlotte	NC	28205
Charlotte	NC	28269
Clarksburg	MD	20871
Columbia	SC	29229
Derwood	MD	20855
East Berlin	PA	17316
East Petersburg	PA	17520
Edgewood	NM	87015
Fairfax	VA	22031
Fort Lauderdale	FL	33311
Frankfort	KY	40601
Franklin	TN	37069
Geismar	LA	70734
Georgetown	TX	78633
Gretna	NE	68028
Hendersonville	NC	28792
Highland Village	TX	75077
Knoxville	TN	37918
La Vista	NE	68128
Las Vegas	NV	89146
Laurens	SC	29360
Littleton	CO	80126
Longview	TX	75605
Los Angeles	CA	90035
Madison	WI	53718
Mesa	AZ	85208
Miami	FL	33175
Miami	FL	33186
Middletown	RI	2842
Milford	IA	51351
Minneapolis	MN	55443
Mission Viejo	CA	92692
Mooresville	NC	28117
Murfreesboro	TN	37129
Nashville	TN	37207
Newark	DE	19702
North Potomac	MD	20878
Oberlin	OH	44074
Oklahoma City	OK	73104
Orlando	FL	32825
Pageland	SC	29728
Pennsauken Township	NJ	8109
Perris	CA	92570
Philadelphia	PA	19145
Plain City	OH	43064
Plano	TX	75093
Pompano Beach	FL	33064
Port St. Lucie	FL	34953
Prattville	AL	36067
Raleigh	NC	27614
Richlands	NC	28574
Richmond	VA	23231
Ridge	NY	11961
Riverdale	GA	30296
Ronkonkoma	NY	11779
Round Rock	TX	78665
Sacramento	CA	95811
San Antonio	TX	78218
San Antonio	TX	78254
San Antonio	TX	78259
San Jose	CA	95119
Saugerties	NY	12477
Savannah	GA	31419
Silver Spring	MD	20904
Suffern	NY	10901
Sugar Land	TX	77479
Sunrise	FL	33313
Surprise	AZ	85374
Thomaston	GA	30286
Thousand Oaks	CA	91362
Towson	MD	21204
Tucker	GA	30084
Vero Beach	FL	32962
Walterboro	SC	29488
Washington	DC	20009
West Hollywood	CA	90069
Westminster	CO	80030
Williamsport	MD	21795
Zelienople	PA	16063
